
Conversion of EDT data from sounding archive file D:\SoundingArchive\LaPaz_20161101_115751.dc3db

Information about sounding:
==================================

Station:                  85201 LaPaz
Launch time:              2016-11-01 11:57:51 UTC
RS type:                  RS92-SGP
RS number:                Z3837556
Reason for termination:   Increasing pressure
Sounding SW version:      MW31 3.66
Use2010CalculationForTU   Yes

==================================


Information about map: EDT                 
==================================


   Record name:    Unit:           Data type:          Divisor: Offset:
   ---------------------------------------------------------------------
    time            sec             float (4)          1        0       
    Pscl            ln              short (2)          1        0       
    T               K               short (2)          10       0       
    RH              %               short (2)          1        0       
    v               m/s             short (2)          -100     0       
    u               m/s             short (2)          -100     0       
    Height          m               short (2)          1        30000   
    P               hPa             short (2)          10       0       
    TD              K               short (2)          10       0       
    MR              g/kg            short (2)          100      0       
    DD              dgr             short (2)          1        0       
    FF              m/s             short (2)          10       0       
    AZ              dgr             short (2)          1        0       
    Range           m               short (2)          0.01     0       
    Lon             dgr             short (2)          100      0       
    Lat             dgr             short (2)          100      0       
    SpuKey          bitfield        unsigned short (2) 1        0       
    UsrKey          bitfield        unsigned short (2) 1        0       
    RadarH          m               short (2)          1        30000   

*************************************************************************************************

     time	     Pscl	        T	       RH	        v	        u	   Height	        P	       TD	       MR	       DD	       FF	       AZ	    Range	      Lon	      Lat	   SpuKey	   UsrKey	   RadarH	
     0.00	    26377	   279.20	       78	     0.00	     0.00	     4065	   626.20	   275.60	     7.28	        0	     0.00	      180	        0	   -68.17	   -16.50	    49159	    49159	     4065	
     2.00	    26363	   281.00	       71	     0.40	    -0.84	     4093	   624.10	   276.20	     7.61	      116	     0.90	      227	      100	   -68.17	   -16.51	    32768	    32768	   -32768	
     4.00	    26355	   281.00	       74	     0.55	    -0.87	     4108	   622.90	   276.70	     7.93	      122	     1.00	      233	      100	   -68.17	   -16.51	        0	        0	   -32768	
     6.00	    26352	   280.90	       76	     0.42	    -0.93	     4115	   622.40	   276.90	     8.05	      114	     1.00	      234	      100	   -68.17	   -16.51	        0	        0	   -32768	
     8.00	    26348	   280.90	       77	     0.34	    -0.98	     4123	   621.80	   277.10	     8.16	      109	     1.00	      235	      100	   -68.17	   -16.51	        0	        0	   -32768	
    10.00	    26343	   280.80	       78	     0.23	    -1.02	     4133	   621.10	   277.30	     8.27	      103	     1.00	      240	      100	   -68.17	   -16.51	        0	        0	   -32768	
    12.00	    26338	   280.80	       78	     0.11	    -1.06	     4143	   620.30	   277.20	     8.27	       96	     1.10	      242	      100	   -68.17	   -16.51	        0	        0	   -32768	
    14.00	    26334	   280.60	       79	    -0.01	    -1.10	     4152	   619.70	   277.20	     8.25	       89	     1.10	      239	      100	   -68.17	   -16.51	        0	        0	   -32768	
    16.00	    26329	   280.50	       80	    -0.13	    -1.14	     4161	   619.00	   277.20	     8.28	       83	     1.20	      237	      100	   -68.17	   -16.51	        0	        0	   -32768	
    18.00	    26324	   280.40	       81	    -0.26	    -1.18	     4172	   618.10	   277.30	     8.35	       78	     1.20	      238	      100	   -68.17	   -16.51	        0	        0	   -32768	
